Status	Tank_number	Filter_replicate	qPCR_replicate	No_snails_tank	Water_filtered	DNA_concentration(ng/ul)	Amplification_success	Ct	Filter_mean_Ct	Filter_estimated_copies
Non-infected	1	1	1	33	500	54.95	No	NA	NA	NA
Non-infected	1	1	2	33	500	54.95	No	NA	NA	NA
Non-infected	1	1	3	33	500	54.95	No	NA	NA	NA
Non-infected	1	2	1	33	460	58.5	No	NA	NA	NA
Non-infected	1	2	2	33	460	58.5	No	NA	NA	NA
Non-infected	1	2	3	33	460	58.5	No	NA	NA	NA
Non-infected	2	1	1	28	500	115	No	NA	NA	NA
Non-infected	2	1	2	28	500	115	No	NA	NA	NA
Non-infected	2	1	3	28	500	115	No	NA	NA	NA
Non-infected	2	2	1	28	460	61.3	No	NA	NA	NA
Non-infected	2	2	2	28	460	61.3	No	NA	NA	NA
Non-infected	2	2	3	28	460	61.3	No	NA	NA	NA
Infected	3	1	1	19	160	84.5	Yes	27.02	26.95	9041
Infected	3	1	2	19	160	84.5	Yes	26.81	26.95	9041
Infected	3	1	3	19	160	84.5	Yes	27.01	26.95	9041
Infected	3	2	1	19	90	63.65	Yes	27.62	27.77	9011
Infected	3	2	2	19	90	63.65	Yes	27.82	27.77	9011
Infected	3	2	3	19	90	63.65	Yes	27.87	27.77	9011
Infected	4	1	1	75	200	85.9	Yes	27.16	27.19	7565
Infected	4	1	2	75	200	85.9	Yes	27.18	27.19	7565
Infected	4	1	3	75	200	85.9	Yes	27.23	27.19	7565
Infected	4	2	1	75	200	114.1	Yes	26.3	26.34	14038
Infected	4	2	2	75	200	114.1	Yes	26.4	26.34	14038
Infected	4	2	3	75	200	114.1	Yes	26.32	26.34	14038
Infected	5	1	1	13	70	88.95	Yes	25.36	25.58	24599
Infected	5	1	2	13	70	88.95	Yes	25.69	25.58	24599
Infected	5	1	3	13	70	88.95	Yes	25.68	25.58	24599
Infected	5	2	1	13	60	102.2	Yes	25.48	25.39	28130
Infected	5	2	2	13	60	102.2	Yes	25.4	25.39	28130
Infected	5	2	3	13	60	102.2	Yes	25.28	25.39	28130
Infected	6	1	1	18	73	100	Yes	25.13	25.15	33296
Infected	6	1	2	18	73	100	Yes	25.16	25.15	33296
Infected	6	1	3	18	73	100	Yes	25.16	25.15	33296
Infected	6	2	1	18	78	114.3	Yes	24.74	24.64	48264
Infected	6	2	2	18	78	114.3	Yes	24.66	24.64	48264
Infected	6	2	3	18	78	114.3	Yes	24.53	24.64	48264
Negative control	Negative control	1	1	0	500	0	No	NA	NA	NA
Negative control	Negative control	1	2	0	500	0	No	NA	NA	NA
Negative control	Negative control	1	3	0	500	0	No	NA	NA	NA
